127.0.0.1 - - [02/Jul/2021:20:43:03 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:03 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:03 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:03 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:19 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14419
127.0.0.1 - - [02/Jul/2021:20:43:19 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:19 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:19 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:19 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:19 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:36 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14424
127.0.0.1 - - [02/Jul/2021:20:43:36 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:36 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:36 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:36 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Jul/2021:20:43:36 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
