127.0.0.1 - - [08/Jun/2021:16:51:51 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [08/Jun/2021:16:51:51 +0530] "GET /EggSupplier/Images/hen6.jpg HTTP/1.1" 200 84766
127.0.0.1 - - [08/Jun/2021:16:52:00 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3655
127.0.0.1 - - [08/Jun/2021:16:52:00 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [08/Jun/2021:16:52:00 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [08/Jun/2021:16:52:00 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [08/Jun/2021:16:52:00 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [08/Jun/2021:16:52:00 +0530] "GET /EggSupplier/Images/hen6.jpg HTTP/1.1" 200 84766
127.0.0.1 - - [08/Jun/2021:16:54:46 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3655
127.0.0.1 - - [08/Jun/2021:16:54:46 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:16:54:47 +0530] "GET /EggSupplier/Images/hen4.jpg HTTP/1.1" 200 143697
127.0.0.1 - - [08/Jun/2021:16:56:35 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3656
127.0.0.1 - - [08/Jun/2021:16:56:35 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:16:56:35 +0530] "GET /EggSupplier/Images/hen25.jpg HTTP/1.1" 200 139387
127.0.0.1 - - [08/Jun/2021:16:58:00 +0530] "GET /EggSupplier/custegg.jsp HTTP/1.1" 200 12814
127.0.0.1 - - [08/Jun/2021:16:58:41 +0530] "GET /EggSupplier/custegg.jsp HTTP/1.1" 500 2599
127.0.0.1 - - [08/Jun/2021:16:59:06 +0530] "GET /EggSupplier/custegg.jsp HTTP/1.1" 200 12841
127.0.0.1 - - [08/Jun/2021:16:59:06 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2021:16:59:06 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
