127.0.0.1 - - [15/Jun/2021:09:22:05 +0530] "GET /EggSupplier HTTP/1.1" 302 -
127.0.0.1 - - [15/Jun/2021:09:22:06 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14416
127.0.0.1 - - [15/Jun/2021:09:22:06 +0530] "GET /EggSupplier/help.css HTTP/1.1" 200 1753
127.0.0.1 - - [15/Jun/2021:09:22:06 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [15/Jun/2021:09:22:06 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [15/Jun/2021:09:22:06 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 200 53276
127.0.0.1 - - [15/Jun/2021:09:22:06 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [15/Jun/2021:09:22:06 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 200 24440
127.0.0.1 - - [15/Jun/2021:09:22:17 +0530] "GET /EggSupplier/custlogin.jsp HTTP/1.1" 200 3824
127.0.0.1 - - [15/Jun/2021:09:22:35 +0530] "POST /EggSupplier/custlogin.jsp HTTP/1.1" 302 -
127.0.0.1 - - [15/Jun/2021:09:22:35 +0530] "GET /EggSupplier/custpage.jsp HTTP/1.1" 200 14996
127.0.0.1 - - [15/Jun/2021:09:22:35 +0530] "GET /EggSupplier/cust.css HTTP/1.1" 404 775
127.0.0.1 - - [15/Jun/2021:09:22:46 +0530] "GET /EggSupplier/custorder.jsp HTTP/1.1" 200 12589
127.0.0.1 - - [15/Jun/2021:09:24:46 +0530] "GET /EggSupplier/custorder.jsp HTTP/1.1" 500 2326
127.0.0.1 - - [15/Jun/2021:09:25:18 +0530] "GET /EggSupplier/custorder.jsp HTTP/1.1" 200 12598
127.0.0.1 - - [15/Jun/2021:09:25:18 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2021:09:25:18 +0530] "GET /EggSupplier/Images/service.jpg HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2021:09:25:18 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2021:09:25:18 +0530] "GET /EggSupplier/Images/egg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2021:09:25:18 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2021:09:25:18 +0530] "GET /EggSupplier/Images/news1.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2021:09:25:36 +0530] "GET /EggSupplier/custpayment.jsp HTTP/1.1" 200 11419
127.0.0.1 - - [15/Jun/2021:09:29:23 +0530] "GET /EggSupplier/custpayment.jsp HTTP/1.1" 200 11422
127.0.0.1 - - [15/Jun/2021:09:29:23 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 304 -
