127.0.0.1 - - [13/Jun/2021:19:12:42 +0530] "GET /EggSupplier HTTP/1.1" 302 -
127.0.0.1 - - [13/Jun/2021:19:12:43 +0530] "GET /EggSupplier/ HTTP/1.1" 200 14515
127.0.0.1 - - [13/Jun/2021:19:12:43 +0530] "GET /EggSupplier/help.css HTTP/1.1" 200 1753
127.0.0.1 - - [13/Jun/2021:19:12:44 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [13/Jun/2021:19:12:44 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [13/Jun/2021:19:12:44 +0530] "GET /EggSupplier/Images/hen12.jpg HTTP/1.1" 200 53276
127.0.0.1 - - [13/Jun/2021:19:12:44 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [13/Jun/2021:19:12:44 +0530] "GET /EggSupplier/Images/hen5.jpg HTTP/1.1" 200 24440
127.0.0.1 - - [13/Jun/2021:19:12:44 +0530] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - - [13/Jun/2021:19:12:54 +0530] "GET /EggSupplier/adminlogin.jsp HTTP/1.1" 200 2167
127.0.0.1 - - [13/Jun/2021:19:13:05 +0530] "POST /EggSupplier/adminlogin.jsp HTTP/1.1" 200 2232
127.0.0.1 - - [13/Jun/2021:19:13:08 +0530] "GET /EggSupplier/adminpage.jsp HTTP/1.1" 200 1307
127.0.0.1 - - [13/Jun/2021:19:13:08 +0530] "GET /EggSupplier/style.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jun/2021:19:13:13 +0530] "GET /EggSupplier/adminegg.jsp HTTP/1.1" 200 3741
127.0.0.1 - - [13/Jun/2021:19:13:14 +0530] "GET /EggSupplier/Images/egg1.jpg HTTP/1.1" 200 86047
127.0.0.1 - - [13/Jun/2021:19:13:14 +0530] "GET /EggSupplier/Images/hen3.jpg HTTP/1.1" 200 29237
127.0.0.1 - - [13/Jun/2021:19:13:14 +0530] "GET /EggSupplier/Images/hen8.jpg HTTP/1.1" 200 45337
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /EggSupplier/adminegg.jsp HTTP/1.1" 200 3810
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /EggSupplier/Images/hen8.jpg HTTP/1.1" 200 45337
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /EggSupplier/Images/egg1.jpg HTTP/1.1" 200 86047
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /EggSupplier/Images/hen3.jpg HTTP/1.1" 200 29237
127.0.0.1 - - [13/Jun/2021:19:14:37 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [13/Jun/2021:19:14:50 +0530] "GET /EggSupplier/adminegg.jsp HTTP/1.1" 200 3810
127.0.0.1 - - [13/Jun/2021:19:14:50 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [13/Jun/2021:19:14:50 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [13/Jun/2021:19:14:50 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [13/Jun/2021:19:14:50 +0530] "GET /EggSupplier/Images/hen8.jpg HTTP/1.1" 200 45337
127.0.0.1 - - [13/Jun/2021:19:14:51 +0530] "GET /EggSupplier/Images/egg1.jpg HTTP/1.1" 200 86047
127.0.0.1 - - [13/Jun/2021:19:14:51 +0530] "GET /EggSupplier/Images/hen3.jpg HTTP/1.1" 200 29237
127.0.0.1 - - [13/Jun/2021:19:14:51 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /EggSupplier/adminegg.jsp HTTP/1.1" 200 3822
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /EggSupplier/Images/hen8.jpg HTTP/1.1" 200 45337
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /EggSupplier/Images/hen3.jpg HTTP/1.1" 200 29237
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /EggSupplier/Images/egg1.jpg HTTP/1.1" 200 86047
127.0.0.1 - - [13/Jun/2021:19:18:30 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /EggSupplier/adminegg.jsp HTTP/1.1" 200 3826
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /EggSupplier/Images/hen8.jpg HTTP/1.1" 200 45337
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /EggSupplier/Images/icon11.png HTTP/1.1" 200 13153
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /EggSupplier/Images/egg1.jpg HTTP/1.1" 200 86047
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /EggSupplier/Images/hen3.jpg HTTP/1.1" 200 29237
127.0.0.1 - - [13/Jun/2021:19:19:15 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [13/Jun/2021:19:19:42 +0530] "GET /EggSupplier/adminegg.jsp HTTP/1.1" 200 3826
127.0.0.1 - - [13/Jun/2021:19:19:43 +0530] "GET /EggSupplier/border.css HTTP/1.1" 200 3717
127.0.0.1 - - [13/Jun/2021:19:19:43 +0530] "GET /EggSupplier/menu.css HTTP/1.1" 200 2308
